Hex Data,Direction,Length,Entropy,Label
32030000005c0002000500000401ff0400080f,1,19,2.879506461,10
32010000005d000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000005d0002000500000401ff0400080f,1,19,2.879506461,10
32010000005e000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000005e0002000500000401ff0400080f,1,19,2.879506461,10
32010000005f000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000005f0002000500000401ff0400080f,1,19,2.879506461,10
320100000060000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000600002000500000401ff0400080f,1,19,2.879506461,10
320100000061000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000610002000500000401ff0400080f,1,19,2.879506461,10
320100000062000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000620002000500000401ff0400080f,1,19,2.879506461,10
320100000063000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000630002000500000401ff0400080f,1,19,2.879506461,10
320100000064000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000640002000500000401ff0400080f,1,19,2.879506461,10
320100000065000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000650002000500000401ff04000806,1,19,2.879506461,10
320100000066000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000660002000500000401ff04000806,1,19,2.879506461,10
320100000067000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000670002000500000401ff04000806,1,19,2.879506461,10
320100000068000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000680002000500000401ff04000806,1,19,2.879506461,10
320100000069000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000690002000500000401ff04000806,1,19,2.879506461,10
32010000006a000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000006a0002000500000401ff04000806,1,19,2.879506461,10
32010000006b000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000006b0002000500000401ff04000806,1,19,2.879506461,10
32010000006c000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000006c0002000500000401ff04000806,1,19,2.879506461,10
32010000006d000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000006d0002000500000401ff04000806,1,19,2.879506461,10
32010000006e000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000006e0002000500000401ff04000806,1,19,2.879506461,10
32010000006f000e00000401120a10020001000083000000,1,24,2.594360938,9
32030000006f0002000500000401ff04000806,1,19,2.879506461,10
320100000070000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000700002000500000401ff04000806,1,19,2.879506461,10
320100000071000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000710002000500000401ff04000811,1,19,2.879506461,10
320100000072000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000720002000500000401ff04000811,1,19,2.879506461,10
320100000073000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000730002000500000401ff04000811,1,19,2.879506461,10
320100000074000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000740002000500000401ff04000811,1,19,2.879506461,10
320100000075000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000750002000500000401ff04000811,1,19,2.879506461,10
320100000076000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000760002000500000401ff04000811,1,19,2.879506461,10
320100000077000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000770002000500000401ff04000811,1,19,2.879506461,10
320100000078000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000780002000500000401ff04000811,1,19,2.879506461,10
320100000079000e00000401120a10020001000083000000,1,24,2.594360938,9
3203000000790002000500000401ff04000811,1,19,2.879506461,10
32010000007a000e00000401120a10020001000083000000,1,24,2.594360938,9
